drug_name	ind_name	ind_id	NCT	status	phase	DetailedStatus	DrugCUI	DrugString
Carbinoxamine	Rhinitis, Vasomotor	C0035460		Approved			C0054672	2-(p-chloro-α-(2-(dimethylamino)ethoxy)benzyl)pyridine
Carbinoxamine	Allergic rhinitis (disorder)	C2607914		Approved			C0054672	2-(p-chloro-α-(2-(dimethylamino)ethoxy)benzyl)pyridine
Carbinoxamine	Common Cold	C0009443		Approved			C0054672	2-(p-chloro-α-(2-(dimethylamino)ethoxy)benzyl)pyridine
Carbinoxamine	Allergic Conjunctivitis	C0009766		Approved			C0054672	2-(p-chloro-α-(2-(dimethylamino)ethoxy)benzyl)pyridine
Carbinoxamine	Rhinorrhea	C1260880		Approved			C0054672	2-(p-chloro-α-(2-(dimethylamino)ethoxy)benzyl)pyridine
Etodolac	Pain	C0030193		Approved			C0059865	1,3,4,9-tetrahydro-1,8-diethylpyrano(3,4-b)indole-1-acetic acid
Etodolac	Degenerative polyarthritis	C0029408		Approved			C0059865	1,3,4,9-tetrahydro-1,8-diethylpyrano(3,4-b)indole-1-acetic acid
Etodolac	Rheumatoid Arthritis	C0003873		Approved			C0059865	1,3,4,9-tetrahydro-1,8-diethylpyrano(3,4-b)indole-1-acetic acid
Prilocaine	Premature Ejaculation	C0033038		Approved			C0033124	2-(Propylamino)-o-propionotoluidide
Epinastine	Itching of eye	C0022281		Approved			C0078442	épinastine
Epinastine	Allergic Conjunctivitis	C0009766		Approved			C0078442	épinastine
Tranylcypromine	Major Depressive Disorder	C1269683		Approved			C0040778	dl-tranylcypromine
Ethotoin	Tonic-Clonic Epilepsy	C0014549		Approved			C0098350	3-ethyl-5-phenylhydantoin
Ethotoin	Epilepsy characterized by intractable complex partial seizures	C2711653		Approved			C0098350	3-ethyl-5-phenylhydantoin
Tretinoin	Acute Promyelocytic Leukemia	C0023487		Approved			C0040845	Tretin M
Tretinoin	Acne Vulgaris	C0001144		Approved			C0040845	Tretin M
Tretinoin	Hyperkeratosis	C0870082		Approved			C0040845	Tretin M
Tretinoin	Senile lentigo	C0036651		Approved			C0040845	Tretin M
Tretinoin	Chloasma	C0025218		Approved			C0040845	Tretin M
Dolasetron	Chemotherapy-induced nausea and vomiting	C0401160		Approved			C0209210	Dolasétron
Clopidogrel	Acute ST segment elevation myocardial infarction (disorder)	C1303258		Approved			C0070166	Clopidogrelum
Clopidogrel	Acute Coronary Syndrome	C0948089		Approved			C0070166	Clopidogrelum
Clopidogrel	Non-Q wave myocardial infarction	C0542269		Approved			C0070166	Clopidogrelum
Clopidogrel	Cerebral Embolism	C0007780		Approved			C0070166	Clopidogrelum
Tetracycline	Lymphogranuloma Venereum	C0024286		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Relapsing Fever	C0035021		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Acute gonococcal urethritis	C0275652		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Gonorrhea	C0018081		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Sinusitis	C0037199		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Infection of skin AND/OR subcutaneous tissue	C0178299		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Rickettsialpox	C0035597		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Pelvic Inflammatory Disease	C0242172		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Actinomycosis	C0001261		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Gonorrhea of pharynx	C0149966		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Pneumonia	C0032285		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Rocky Mountain Spotted Fever	C0035793		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Chlamydia trachomatis infection of genital structure	C1997322		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Ophthalmia Neonatorum	C0029076		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Bacterial keratitis	C0854211		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Psittacosis	C0029291		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	TYPHUS	C0041471		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Acute gonococcal epididymo-orchitis	C0153193		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Brucellosis	C0006309		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Trachoma	C0040592		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Bacterial conjunctivitis	C0009768		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Urinary tract infection	C0042029		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Syphilis	C0039128		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Infective otitis media	C0729586		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Pharyngitis	C0031350		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Q Fever	C0034362		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Acute gonococcal endometritis	C0153196		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Granuloma Inguinale	C0018190		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Gonorrhea of rectum	C0275665		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Bronchitis	C0006277		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Yaws	C0043388		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Gingivostomatitis	C0149704		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Acne Vulgaris	C0001144		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Tetracycline	Acute gonococcal cervicitis	C0153195		Approved			C0039644	(4S,4aS,5aS,12aS)-4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamide
Meropenem	Infection due to Pseudomonas aeruginosa	C0276075		Approved			C0066005	Meropenemum
Meropenem	Complicated appendicitis	C1632842		Approved			C0066005	Meropenemum
Meropenem	Meningococcal meningitis	C0025294		Approved			C0066005	Meropenemum
Meropenem	Peritonitis	C0031154		Approved			C0066005	Meropenemum
Meropenem	Meningitis, Bacterial	C0085437		Approved			C0066005	Meropenemum
Meropenem	Meningitis, Pneumococcal	C0025295		Approved			C0066005	Meropenemum
Meropenem	Streptococcal meningitis	C0154639		Approved			C0066005	Meropenemum
Meropenem	Intraabdominal Infections	C1112209		Approved			C0066005	Meropenemum
Meropenem	Abdominal Abscess	C0243001		Approved			C0066005	Meropenemum
Potassium Chloride	Constipation	C0009806		Approved			C0032825	Potassium chloride
Potassium Chloride	Incomplete passage of stool	C0426639		Approved			C0032825	Potassium chloride
Potassium Chloride	Hypokalemia	C0020621		Approved			C0032825	Potassium chloride
Irinotecan	Metastasis from malignant tumor of colon	C1282500		Approved			C0123931	(+)-Irinotecan
Irinotecan	Secondary malignant neoplasm of pancreas	C0346976		Approved			C0123931	(+)-Irinotecan
Methimazole	Hyperthyroidism	C0020550		Approved			C0025644	Thiamazol
Mometasone	Pruritus of genital organs	C0033777		Approved			C0360564	Mometason
Mometasone	Lymphoma, T-Cell, Cutaneous	C0079773		Approved			C0360564	Mometason
Mometasone	Lichen Simplex Chronicus	C0149922		Approved			C0360564	Mometason
Mometasone	Seborrheic dermatitis	C0036508		Approved			C0360564	Mometason
Mometasone	Asthma	C0004096		Approved			C0360564	Mometason
Mometasone	Scalp psoriasis	C0406326		Approved			C0360564	Mometason
Mometasone	Chronic small plaque psoriasis	C0406317		Approved			C0360564	Mometason
Mometasone	Pruritus Ani	C0033775		Approved			C0360564	Mometason
Mometasone	Allergic rhinitis (disorder)	C2607914		Approved			C0360564	Mometason
Mometasone	Exanthema	C0015230		Approved			C0360564	Mometason
Mometasone	Contact Dermatitis	C0011616		Approved			C0360564	Mometason
Mometasone	Allergic asthma	C0155877		Approved			C0360564	Mometason
Mometasone	Granuloma Annulare	C0085074		Approved			C0360564	Mometason
Mometasone	Intrinsic asthma	C0155880		Approved			C0360564	Mometason
Mometasone	Lupus Erythematosus, Discoid	C0024138		Approved			C0360564	Mometason
Metyrosine	Pheochromocytoma	C0031511		Approved			C0886584	α-MPT
Clavulanate	Escherichia coli urinary tract infection	C0577708		Approved			C0110038	Clavulanate
Clavulanate	Pneumonia due to Klebsiella pneumoniae	C0519030		Approved			C0110038	Clavulanate
Clavulanate	Klebsiella cystitis	C0520775		Approved			C0110038	Clavulanate
Clavulanate	Bacterial sepsis	C0684256		Approved			C0110038	Clavulanate
Clavulanate	Bacterial infection due to Klebsiella pneumoniae	C0343402		Approved			C0110038	Clavulanate
Clavulanate	Rhinoscleroma	C0035468		Approved			C0110038	Clavulanate
Clavulanate	Streptococcal pneumonia	C0155862		Approved			C0110038	Clavulanate
Clavulanate	Sepsis due to Staphylococcus aureus	C2887088		Approved			C0110038	Clavulanate
Clavulanate	Haemophilus parainfluenzae pneumonia	C0877633		Approved			C0110038	Clavulanate
Clavulanate	Osteomyelitis due to Staphylococcus aureus	C1997728		Approved			C0110038	Clavulanate
Clavulanate	Bacterial urinary infection	C0729524		Approved			C0110038	Clavulanate
Clavulanate	Acute bacterial sinusitis	C0275556		Approved			C0110038	Clavulanate
Clavulanate	Pneumonia due to Staphylococcus aureus	C2349530		Approved			C0110038	Clavulanate
Clavulanate	Infection of skin AND/OR subcutaneous tissue	C0178299		Approved			C0110038	Clavulanate
Clavulanate	Infective otitis media	C0729586		Approved			C0110038	Clavulanate
Clavulanate	Moraxella catarrhalis pneumonia	C0857831		Approved			C0110038	Clavulanate
Clavulanate	Sepsis due to Pseudomonas	C2887096		Approved			C0110038	Clavulanate
Clavulanate	Escherichia coli septicemia	C0276088		Approved			C0110038	Clavulanate
Clavulanate	Escherichia coli Infections	C0014836		Approved			C0110038	Clavulanate
Clavulanate	Haemophilus influenzae pneumonia	C0276026		Approved			C0110038	Clavulanate
Clavulanate	Staphylococcus aureus infection	C1318973		Approved			C0110038	Clavulanate
Clavulanate	URINARY TRACT INFECTION CITROBACTER	C0749955		Approved			C0110038	Clavulanate
Clavulanate	Urinary tract infection	C0042029		Approved			C0110038	Clavulanate
Clavulanate	Pneumonia, Bacterial	C0004626		Approved			C0110038	Clavulanate
Clavulanate	Staphylococcal Pneumonia	C0032308		Approved			C0110038	Clavulanate
Olopatadine	Allergic rhinitis (disorder)	C2607914		Approved			C0527189	Olopatadinum
Olopatadine	Hay fever	C0018621		Approved			C0527189	Olopatadinum
Olopatadine	Allergic Conjunctivitis	C0009766		Approved			C0527189	Olopatadinum
Alprostadil	Congenital atresia of pulmonary valve	C0242855		Approved			C0002335	11α,15α-dihydroxy-9-oxo-13-trans-prostenoic acid
Alprostadil	Tricuspid Atresia	C0243002		Approved			C0002335	11α,15α-dihydroxy-9-oxo-13-trans-prostenoic acid
Alprostadil	Aortic coarctation	C0003492		Approved			C0002335	11α,15α-dihydroxy-9-oxo-13-trans-prostenoic acid
Alprostadil	Tetralogy of Fallot	C0039685		Approved			C0002335	11α,15α-dihydroxy-9-oxo-13-trans-prostenoic acid
Alprostadil	Erectile dysfunction	C0242350		Approved			C0002335	11α,15α-dihydroxy-9-oxo-13-trans-prostenoic acid
Clidinium	Irritable Bowel Syndrome	C0022104		Approved			C0055877	3-hydroxy-1-methylquinuclidinium benzilate ester
Clidinium	Enterocolitis	C0014356		Approved			C0055877	3-hydroxy-1-methylquinuclidinium benzilate ester
Malathion	Pediculus capitis infestation	C0030757		Approved			C0024547	diethyl (dimethoxyphosphinothioylthio)succinate
Etoposide	Small cell carcinoma of lung	C0149925		Approved			C0015133	9-((4,6-O-Ethylidine-beta-D-glucopyranosyl)oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,4-dimethyloxyphenyl)furo(3',4'':6,7)naptho-(2,3-d)-1,3-dioxol-6(5aH)-one
Hydroflumethiazide	Hypertensive disease	C0020538		Approved			C0020273	Hydroflumethiazidum
Hydroflumethiazide	Edema	C0013604		Approved			C0020273	Hydroflumethiazidum
Tirofiban	Non-Q wave myocardial infarction	C0542269		Approved			C0247025	(2S)-2-(butylsulfonylamino)-3-[4-(4-piperidin-4-ylbutoxy)phenyl]propanoic acid
Tirofiban	Acute Coronary Syndrome	C0948089		Approved			C0247025	(2S)-2-(butylsulfonylamino)-3-[4-(4-piperidin-4-ylbutoxy)phenyl]propanoic acid
Oxcarbazepine	Epilepsy characterized by intractable complex partial seizures	C2711653		Approved			C0069751	Oxcarbazepinum
Oxcarbazepine	Epilepsies, Partial	C0014547		Approved			C0069751	Oxcarbazepinum
Oxcarbazepine	Simple Partial Seizures	C0234974		Approved			C0069751	Oxcarbazepinum
Phenelzine	Depressive disorder	C0011581		Approved			C0031392	Fenelzina
Polymyxin B Sulfate	Infective blepharitis	C0729587		Approved			C0032535	Polymyxin B
Polymyxin B Sulfate	Blepharoconjunctivitis	C0005743		Approved			C0032535	Polymyxin B
Polymyxin B Sulfate	Uveitis	C0042164		Approved			C0032535	Polymyxin B
Polymyxin B Sulfate	Corneal abrasion	C0010032		Approved			C0032535	Polymyxin B
Polymyxin B Sulfate	Urinary tract infection	C0042029		Approved			C0032535	Polymyxin B
Polymyxin B Sulfate	Bacterial conjunctivitis	C0009768		Approved			C0032535	Polymyxin B
Polymyxin B Sulfate	Otitis Externa	C0029878		Approved			C0032535	Polymyxin B
Polymyxin B Sulfate	Keratitis	C0022568		Approved			C0032535	Polymyxin B
Polymyxin B Sulfate	Bacterial keratitis	C0854211		Approved			C0032535	Polymyxin B
Polymyxin B Sulfate	Bacterial sepsis	C0684256		Approved			C0032535	Polymyxin B
Propantheline	Peptic Ulcer	C0030920		Approved			C0033447	Propantheline
Estradiol	Carcinoma breast stage IV	C0278488		Approved			C0014912	17β-oestradiol
Estradiol	Atrophic Vaginitis	C0221392		Approved			C0014912	17β-oestradiol
Estradiol	Urethral atrophy	C0520577		Approved			C0014912	17β-oestradiol
Estradiol	Premenstrual Dysphoric Disorder	C0520676		Approved			C0014912	17β-oestradiol
Estradiol	Acne Vulgaris	C0001144		Approved			C0014912	17β-oestradiol
Estradiol	Atrophy of vulva	C0156393		Approved			C0014912	17β-oestradiol
Estradiol	Female hypogonadism syndrome	C0271578		Approved			C0014912	17β-oestradiol
Estradiol	Hot flushes	C0600142		Approved			C0014912	17β-oestradiol
Estradiol	Metastatic Prostate Carcinoma	C0936223		Approved			C0014912	17β-oestradiol
Mefenamic acid	Dysmenorrhea	C0013390		Approved			C0025152	N-2,3-xylylanthranilic acid
Mefenamic acid	Pain	C0030193		Approved			C0025152	N-2,3-xylylanthranilic acid
Aciclovir	Chickenpox	C0008049		Approved			C0001367	Aciclovir
Aciclovir	Herpes simplex infection of skin	C0349719		Approved			C0001367	Aciclovir
Aciclovir	Recurrent genital herpes simplex	C1274323		Approved			C0001367	Aciclovir
Aciclovir	Herpes Labialis	C0019345		Approved			C0001367	Aciclovir
Aciclovir	Herpes zoster disease	C0019360		Approved			C0001367	Aciclovir
Aciclovir	Herpes encephalitis	C0276226		Approved			C0001367	Aciclovir
Aciclovir	Herpes Simplex Infections	C0019348		Approved			C0001367	Aciclovir
Aciclovir	Genital Herpes	C0019342		Approved			C0001367	Aciclovir
Aciclovir	Recurrent herpes simplex labialis	C1274321		Approved			C0001367	Aciclovir
Naproxen	Arthralgia	C0003862		Approved			C0027396	Naproxenum
Naproxen	Rheumatoid Arthritis	C0003873		Approved			C0027396	Naproxenum
Naproxen	Sinus headache	C0037195		Approved			C0027396	Naproxenum
Naproxen	Dysmenorrhea	C0013390		Approved			C0027396	Naproxenum
Naproxen	Rhinorrhea	C1260880		Approved			C0027396	Naproxenum
Naproxen	Headache Disorders	C0393735		Approved			C0027396	Naproxenum
Naproxen	Migraine Disorders	C0149931		Approved			C0027396	Naproxenum
Naproxen	Degenerative polyarthritis	C0029408		Approved			C0027396	Naproxenum
Naproxen	Fever	C0015967		Approved			C0027396	Naproxenum
Naproxen	Bursitis	C0006444		Approved			C0027396	Naproxenum
Naproxen	Myalgia	C0231528		Approved			C0027396	Naproxenum
Naproxen	Pain	C0030193		Approved			C0027396	Naproxenum
Naproxen	Gout	C0018099		Approved			C0027396	Naproxenum
Naproxen	Tendinitis	C0039503		Approved			C0027396	Naproxenum
Naproxen	Ankylosing spondylitis	C0038013		Approved			C0027396	Naproxenum
Naproxen	Toothache	C0040460		Approved			C0027396	Naproxenum
Perindopril	Hypertensive disease	C0020538		Approved			C0136123	(2S,3aS,7aS)-1-[(2S)-2-{[(2S)-1-ethoxy-1-oxopentan-2-yl]amino}propanoyl]octahydro-1H-indole-2-carboxylic acid
Uracil mustard	Lymphoma, Non-Hodgkin	C0024305		Approved			C0041920	5-[bis(2-chloroethyl)amino]-2,4(1H,3H)-pyrimidinedione
Uracil mustard	Polycythemia Vera	C0032463		Approved			C0041920	5-[bis(2-chloroethyl)amino]-2,4(1H,3H)-pyrimidinedione
Uracil mustard	Myeloid Leukemia, Chronic	C0023473		Approved			C0041920	5-[bis(2-chloroethyl)amino]-2,4(1H,3H)-pyrimidinedione
Uracil mustard	Chronic Lymphocytic Leukemia	C0023434		Approved			C0041920	5-[bis(2-chloroethyl)amino]-2,4(1H,3H)-pyrimidinedione
Tripelennamine	Pruritus	C0033774		Approved			C0041090	Tripelennamina
Tripelennamine	Symptomatic dermographism	C0343065		Approved			C0041090	Tripelennamina
Tripelennamine	Allergic rhinitis (disorder)	C2607914		Approved			C0041090	Tripelennamina
Tripelennamine	Rhinorrhea	C1260880		Approved			C0041090	Tripelennamina
Tripelennamine	Urticaria	C0042109		Approved			C0041090	Tripelennamina
Tripelennamine	Rhinitis, Vasomotor	C0035460		Approved			C0041090	Tripelennamina
Tripelennamine	Nasal congestion (finding)	C0027424		Approved			C0041090	Tripelennamina
Tripelennamine	Sneezing	C0037383		Approved			C0041090	Tripelennamina
Tripelennamine	Allergic Conjunctivitis	C0009766		Approved			C0041090	Tripelennamina
Haloprogin	Tinea cruris	C1384589		Approved			C0062106	Haloproginum
Haloprogin	Tinea corporis (disorder)	C0040252		Approved			C0062106	Haloproginum
Haloprogin	Tinea Pedis	C0040259		Approved			C0062106	Haloproginum
Primidone	Simple Partial Seizures	C0234974		Approved			C0033148	5-Phenyl-5-ethyl-Hexahydropyrimidine-4,6-dione
Primidone	Epilepsy characterized by intractable complex partial seizures	C2711653		Approved			C0033148	5-Phenyl-5-ethyl-Hexahydropyrimidine-4,6-dione
Primidone	Bipolar disorder in remission	C0270425		Approved			C0033148	5-Phenyl-5-ethyl-Hexahydropyrimidine-4,6-dione
Primidone	Epilepsy	C0014544		Approved			C0033148	5-Phenyl-5-ethyl-Hexahydropyrimidine-4,6-dione
Primidone	Tonic - clonic seizures	C0494475		Approved			C0033148	5-Phenyl-5-ethyl-Hexahydropyrimidine-4,6-dione
Primidone	Tonic-Clonic Epilepsy	C0014549		Approved			C0033148	5-Phenyl-5-ethyl-Hexahydropyrimidine-4,6-dione
Primidone	Lennox-Gastaut syndrome	C0238111		Approved			C0033148	5-Phenyl-5-ethyl-Hexahydropyrimidine-4,6-dione
Primidone	Epilepsies, Partial	C0014547		Approved			C0033148	5-Phenyl-5-ethyl-Hexahydropyrimidine-4,6-dione
Sulfasalazine	Rheumatoid Arthritis	C0003873		Approved			C0036078	5-(p-(2-Pyridylsulfamyl)phenylazo)salicylic acid
Sulfasalazine	Ulcerative Colitis	C0009324		Approved			C0036078	5-(p-(2-Pyridylsulfamyl)phenylazo)salicylic acid
Candesartan	Hypertensive disease	C0020538		Approved			C0527379	Candesartan cilexetil
Candesartan	Chronic heart failure	C0264716		Approved			C0527379	Candesartan cilexetil
Tolazoline	Cerebrovascular Disorders	C0007820		Approved			C0040373	Benzazoline
Tolazoline	Persistent Fetal Circulation Syndrome	C0031190		Approved			C0040373	Benzazoline
Tolazoline	Vascular Diseases	C0042373		Approved			C0040373	Benzazoline
Gentamicin	Pneumonia due to Escherichia coli	C0276089		Approved			C3854019	Gentamicina
Gentamicin	Sepsis due to Gram negative bacteria	C3163829		Approved			C3854019	Gentamicina
Gentamicin	Pseudomonas aeruginosa meningitis	C3665869		Approved			C3854019	Gentamicina
Gentamicin	Meningitis, Bacterial	C0085437		Approved			C3854019	Gentamicina
Gentamicin	Serratia sepsis	C0152973		Approved			C3854019	Gentamicina
Gentamicin	Infection of skin AND/OR subcutaneous tissue	C0178299		Approved			C3854019	Gentamicina
Gentamicin	Serratia Infections	C0085394		Approved			C3854019	Gentamicina
Gentamicin	Pneumonia due to Pseudomonas	C0155860		Approved			C3854019	Gentamicina
Gentamicin	Infection of bone	C2242472		Approved			C3854019	Gentamicina
Gentamicin	Enterobacter pneumonia	C1096258		Approved			C3854019	Gentamicina
Gentamicin	Bacterial sepsis	C0684256		Approved			C3854019	Gentamicina
Gentamicin	Bacterial conjunctivitis	C0009768		Approved			C3854019	Gentamicina
Gentamicin	Cholangitis	C0008311		Approved			C3854019	Gentamicina
Gentamicin	Bacterial keratitis	C0854211		Approved			C3854019	Gentamicina
Gentamicin	Rhinoscleroma	C0035468		Approved			C3854019	Gentamicina
Gentamicin	Pneumonia, Bacterial	C0004626		Approved			C3854019	Gentamicina
Gentamicin	Escherichia coli septicemia	C0276088		Approved			C3854019	Gentamicina
Gentamicin	Dacryocystitis	C0010930		Approved			C3854019	Gentamicina
Gentamicin	Folliculitis	C0016436		Approved			C3854019	Gentamicina
Gentamicin	Blepharoconjunctivitis	C0005743		Approved			C3854019	Gentamicina
Gentamicin	Meibomianitis	C0549398		Approved			C3854019	Gentamicina
Gentamicin	Sepsis due to Pseudomonas	C2887096		Approved			C3854019	Gentamicina
Gentamicin	Peritonitis	C0031154		Approved			C3854019	Gentamicina
Gentamicin	Neonatal meningitis	C0456107		Approved			C3854019	Gentamicina
Gentamicin	Citrobacter sepsis	C1096254		Approved			C3854019	Gentamicina
Gentamicin	Escherichia coli Infections	C0014836		Approved			C3854019	Gentamicina
Gentamicin	Enterobacteriaceae Infections	C0014347		Approved			C3854019	Gentamicina
